time, value1, value2
-33.3000E-06,+1.0996093750E+00,+339.8437500E-03
-33.2000E-06,+1.0976562500E+00,+339.8437500E-03
-33.1000E-06,+1.0957031250E+00,+337.8906250E-03
-33.0000E-06,+1.0957031250E+00,+339.8437500E-03
-32.9000E-06,+1.0957031250E+00,+339.8437500E-03
-32.8000E-06,+1.0957031250E+00,+335.9375000E-03
-32.7000E-06,+1.0937500000E+00,+333.9843750E-03
-32.6000E-06,+1.0917968750E+00,+335.9375000E-03
-32.5000E-06,+1.0917968750E+00,+335.9375000E-03
-32.4000E-06,+1.0917968750E+00,+333.9843750E-03
-32.3000E-06,+1.0917968750E+00,+333.9843750E-03
-32.2000E-06,+1.0878906250E+00,+335.9375000E-03
-32.1000E-06,+1.0878906250E+00,+333.9843750E-03
-32.0000E-06,+1.0859375000E+00,+335.9375000E-03
-31.9000E-06,+1.0878906250E+00,+335.9375000E-03
-31.8000E-06,+1.0859375000E+00,+335.9375000E-03
-31.7000E-06,+1.0859375000E+00,+333.9843750E-03
-31.6000E-06,+1.0839843750E+00,+335.9375000E-03
-31.5000E-06,+1.0839843750E+00,+333.9843750E-03
-31.4000E-06,+1.0820312500E+00,+333.9843750E-03
-31.3000E-06,+1.0820312500E+00,+333.9843750E-03
-31.2000E-06,+1.0820312500E+00,+330.0781250E-03
-31.1000E-06,+1.0800781250E+00,+332.0312500E-03
-31.0000E-06,+1.0820312500E+00,+332.0312500E-03
-30.9000E-06,+1.0800781250E+00,+332.0312500E-03
-30.8000E-06,+1.0781250000E+00,+330.0781250E-03
-30.7000E-06,+1.0781250000E+00,+330.0781250E-03
-30.6000E-06,+1.0800781250E+00,+330.0781250E-03
-30.5000E-06,+1.0761718750E+00,+332.0312500E-03
-30.4000E-06,+1.0781250000E+00,+330.0781250E-03
-30.3000E-06,+1.0761718750E+00,+330.0781250E-03
-30.2000E-06,+1.0742187500E+00,+330.0781250E-03
-30.1000E-06,+1.0742187500E+00,+332.0312500E-03
-30.0000E-06,+1.0410156250E+00,+23.4375000E-03
-29.9000E-06,+910.1562500E-03,-556.6406250E-03
-29.8000E-06,+832.0312500E-03,-589.8437500E-03
-29.7000E-06,+779.2968750E-03,-544.9218750E-03
-29.6000E-06,+738.2812500E-03,-505.8593750E-03
-29.5000E-06,+705.0781250E-03,-464.8437500E-03
-29.4000E-06,+677.7343750E-03,-433.5937500E-03
-29.3000E-06,+652.3437500E-03,-392.5781250E-03
-29.2000E-06,+630.8593750E-03,-355.4687500E-03
-29.1000E-06,+615.2343750E-03,-326.1718750E-03
-29.0000E-06,+595.7031250E-03,-302.7343750E-03
-28.9000E-06,+580.0781250E-03,-277.3437500E-03
-28.8000E-06,+568.3593750E-03,-248.0468750E-03
-28.7000E-06,+558.5937500E-03,-222.6562500E-03
-28.6000E-06,+544.9218750E-03,-203.1250000E-03
-28.5000E-06,+535.1562500E-03,-183.5937500E-03
-28.4000E-06,+529.2968750E-03,-160.1562500E-03
-28.3000E-06,+521.4843750E-03,-136.7187500E-03
-28.2000E-06,+515.6250000E-03,-107.4218750E-03
-28.1000E-06,+517.5781250E-03,-85.9375000E-03
-28.0000E-06,+513.6718750E-03,-60.5468750E-03
-27.9000E-06,+521.4843750E-03,+39.0625000E-03
-27.8000E-06,+548.8281250E-03,+152.3437500E-03
-27.7000E-06,+560.5468750E-03,+148.4375000E-03
-27.6000E-06,+564.4531250E-03,+138.6718750E-03
-27.5000E-06,+572.2656250E-03,+152.3437500E-03
-27.4000E-06,+576.1718750E-03,+148.4375000E-03
-27.3000E-06,+580.0781250E-03,+148.4375000E-03
-27.2000E-06,+585.9375000E-03,+154.2968750E-03
-27.1000E-06,+585.9375000E-03,+136.7187500E-03
-27.0000E-06,+587.8906250E-03,+146.4843750E-03
-26.9000E-06,+593.7500000E-03,+154.2968750E-03
-26.8000E-06,+597.6562500E-03,+156.2500000E-03
-26.7000E-06,+597.6562500E-03,+140.6250000E-03
-26.6000E-06,+599.6093750E-03,+150.3906250E-03
-26.5000E-06,+605.4687500E-03,+156.2500000E-03
-26.4000E-06,+605.4687500E-03,+156.2500000E-03
-26.3000E-06,+609.3750000E-03,+150.3906250E-03
-26.2000E-06,+611.3281250E-03,+150.3906250E-03
-26.1000E-06,+613.2812500E-03,+156.2500000E-03
-26.0000E-06,+617.1875000E-03,+162.1093750E-03
-25.9000E-06,+621.0937500E-03,+160.1562500E-03
-25.8000E-06,+621.0937500E-03,+154.2968750E-03
-25.7000E-06,+623.0468750E-03,+152.3437500E-03
-25.6000E-06,+625.0000000E-03,+162.1093750E-03
-25.5000E-06,+626.9531250E-03,+162.1093750E-03
-25.4000E-06,+626.9531250E-03,+152.3437500E-03
-25.3000E-06,+626.9531250E-03,+154.2968750E-03
-25.2000E-06,+630.8593750E-03,+164.0625000E-03
-25.1000E-06,+632.8125000E-03,+162.1093750E-03
-25.0000E-06,+632.8125000E-03,+160.1562500E-03
-24.9000E-06,+634.7656250E-03,+160.1562500E-03
-24.8000E-06,+636.7187500E-03,+158.2031250E-03
-24.7000E-06,+638.6718750E-03,+162.1093750E-03
-24.6000E-06,+638.6718750E-03,+160.1562500E-03
-24.5000E-06,+640.6250000E-03,+164.0625000E-03
-24.4000E-06,+642.5781250E-03,+162.1093750E-03
-24.3000E-06,+644.5312500E-03,+164.0625000E-03
-24.2000E-06,+646.4843750E-03,+167.9687500E-03
-24.1000E-06,+648.4375000E-03,+162.1093750E-03
-24.0000E-06,+648.4375000E-03,+162.1093750E-03
-23.9000E-06,+650.3906250E-03,+160.1562500E-03
-23.8000E-06,+652.3437500E-03,+162.1093750E-03
-23.7000E-06,+652.3437500E-03,+164.0625000E-03
-23.6000E-06,+654.2968750E-03,+164.0625000E-03
-23.5000E-06,+654.2968750E-03,+162.1093750E-03
-23.4000E-06,+656.2500000E-03,+166.0156250E-03
-23.3000E-06,+658.2031250E-03,+164.0625000E-03
-23.2000E-06,+660.1562500E-03,+166.0156250E-03
